"state","population","job_count","unemp_rate"
"AK",739795,1,7.2
"AL",4874747,130,4.4
"AR",3004279,73,3.7
"AZ",7016270,45,4.9
"CA",39536653,1605,4.8
"CO",5607154,427,2.8
"CT",3588184,66,4.7
"DC",693972,99,6.1
"DE",961939,54,4.6
"FL",20984400,820,4.2
"GA",10429379,714,4.7
"HI",1427538,19,2.4
"IA",3145711,118,3.1
"ID",1716943,31,3.2
"IL",12802023,838,5.0
"IN",6666818,286,3.5
"KS",2913123,154,3.6
"KY",4454189,162,4.9
"LA",4684333,225,5.1
"MA",6859819,659,3.7
"MD",6052177,220,4.1
"ME",1335907,30,3.3
"MI",9962311,216,4.6
"MN",5576606,282,3.5
"MO",6113532,276,3.8
"MS",2984100,56,5.1
"MT",1050493,24,4.0
"NC",10273419,359,4.6
"ND",755393,37,2.6
"NE",1920076,77,2.9
"NH",1342795,38,2.7
"NJ",9005644,537,4.6
"NM",2088070,19,6.2
"NV",2998039,418,5.0
"NY",19849399,638,4.7
"OH",11658609,2279,5.0
"OK",3930864,125,4.3
"OR",4142776,41,4.1
"PA",12805537,956,4.9
"RI",1059639,32,4.5
"SC",5024369,201,4.3
"SD",869666,31,3.3
"TN",6715984,562,3.7
"TX",28304596,3038,4.3
"UT",3101833,147,3.2
"VA",8470020,293,3.8
"VT",623657,13,3.0
"WA",7405743,390,4.8
"WI",5795483,573,3.3
"WV",1815857,49,5.2
"WY",579315,13,4.2
